role_id,role_name,question_id,round,score,score_reason
R3,PhD,Q6,pre,3,"Covers naturalized comparisons and data constraints, misses some satellite and metadata details."
R3,PhD,Q7,pre,3,"Good examples and process framing, minor lack of long-term vs short-term distinction."
R3,PhD,Q8,pre,3,"Strong impact-vulnerability answer, minor missing operational data discussion."
R3,PhD,Q9,pre,3,"Strong feedback explanation, less explicit on altering loops."
R3,PhD,Q10,pre,3,"Good critique but could better separate conceptual and implementation limitations."
R3,PhD,Q1,post,4,"Complete; no meaningful improvement needed."
R3,PhD,Q2,post,4,"Adds impacts and timescale distinction."
R3,PhD,Q3,post,4,"Complete."
R3,PhD,Q4,post,4,"Adds natural vs disturbed thresholds and seasonal/long-term baseline issues."
R3,PhD,Q5,post,4,"Complete."
R3,PhD,Q6,post,4,"Adds metadata, disturbed catchments, satellite products, and data-limit caveat."
R3,PhD,Q7,post,4,"Complete input-output-storage and timescale explanation."
R3,PhD,Q8,post,4,"Complete integration of physical characteristics, vulnerability, exposure, and impact data."
R3,PhD,Q9,post,4,"Complete feedback-loop and intervention explanation."
R3,PhD,Q10,post,4,"Complete strengths/limitations critique."
R4,Advisor,Q1,pre,4,"Complete and well-grounded."
R4,Advisor,Q2,pre,4,"Complete terminology distinction."
R4,Advisor,Q3,pre,4,"Complete classification and attribution relevance."
R4,Advisor,Q4,pre,4,"Complete threshold and baseline discussion."
R4,Advisor,Q5,pre,4,"Complete critique of meteorological view."
R4,Advisor,Q6,pre,3,"Strong but omits one or two implementation examples."
R4,Advisor,Q7,pre,4,"Complete."
R4,Advisor,Q8,pre,3,"Strong but could say more about impact-data linkage."
R4,Advisor,Q9,pre,3,"Strong but not explicit enough about identifying and altering feedback loops."
R4,Advisor,Q10,pre,4,"Complete expert critique."
R4,Advisor,Q1,post,4,"Complete; no meaningful improvement needed."
R4,Advisor,Q2,post,4,"Complete."
R4,Advisor,Q3,post,4,"Complete."
R4,Advisor,Q4,post,4,"Complete."
R4,Advisor,Q5,post,4,"Complete."
R4,Advisor,Q6,post,4,"Adds missing implementation examples and data constraints."
R4,Advisor,Q7,post,4,"Complete."
R4,Advisor,Q8,post,4,"Adds impact-data and vulnerability linkage."
R4,Advisor,Q9,post,4,"Adds altering feedback loops for mitigation/adaptation."
R4,Advisor,Q10,post,4,"Complete."

